id,question,answer,difficulty,bloom_taxonomy,grade,subject,type,topic,
138,what is the difference between a food chain and a food web?,A food chain shows a single pathway of energy transfer among organisms while a food web consists of interconnected food chains in an ecosystem.,medium,Understanding,6,Biology,Descriptive,Ecology,
68,choose the correct answer: a substance with a ph of 9 is ____,Alkaline,easy,Remembering,6,Chemistry,MCQ,pH Scale,
43,what is the role of the liver in excretion?,The liver processes toxins and produces bile which helps in the digestion of fats.,medium,Understanding,6,Biology,Descriptive,Excretory System,
43,what is the role of the liver in excretion?,The liver processes toxins and produces bile which helps in the digestion of fats.,medium,Understanding,6,Biology,Descriptive,Digestive System,
121,explain the role of gravity in the solar system.,Gravity is the force that keeps planets in orbit around the Sun and governs the motion of celestial bodies.,medium,Understanding,6,Physics,Descriptive,Gravity,
227,explain the process of magnetic attraction and repulsion.,Magnetic attraction occurs when opposite poles (north and south) attract each other while repulsion occurs when like poles (north and north or south and south) repel each other.,medium,Understanding,6,Physics,Descriptive,Magnetism,
321,describe the process of reflection of light.,Reflection of light is the bouncing back of light rays from a surface following the law of reflection where the angle of incidence equals the angle of reflection.,medium,Understanding,6,Physics,Descriptive,Optics,
204,describe the role of bacteria in the ecosystem.,"Bacteria play crucial roles such as decomposition, nitrogen fixation, and symbiotic relationships with other organisms.",medium,Understanding,6,Biology,Descriptive,Ecology,
132,what is the difference between a herbivore and a carnivore?,A herbivore primarily eats plants or plant-based material while a carnivore primarily eats other animals.,medium,Understanding,6,Biology,Descriptive,Ecology,
128,explain the concept of inertia.,Inertia is the tendency of an object to resist changes in its state of motion (either staying at rest or moving uniformly in a straight line).,medium,Understanding,6,Physics,Descriptive,Newton's Laws of Motion,
418,choose the correct answer: which of the following is an example of an insect-pollinated flower?,Rose,easy,Remembering,6,Biology,MCQ,Plant Reproduction,
104,explain the greenhouse effect.,The greenhouse effect is the process by which greenhouse gases trap heat from the Sun in the Earth's atmosphere warming the planet.,medium,Understanding,6,Biology,Descriptive,Climate Change,
77,what is the water cycle?,"The water cycle is the continuous movement of water on, above, and below the surface of the Earth, including processes such as evaporation, condensation, precipitation, and runoff.",easy,Understanding,6,Biology,Descriptive,Water Cycle,
330,explain the role of potential difference in an electrical circuit.,Potential difference (voltage) is the driving force that pushes electric charges (electrons) through a circuit allowing electrical energy to be transferred to components like bulbs or motors.,medium,Understanding,6,Physics,Descriptive,Electricity,
32,label the parts of the human respiratory system: ____ ____ ____ ____.,Lungs Trachea Bronchi Alveoli,easy,Remembering,6,Biology,Fill in the blank,Respiratory System,
64,what is a chemical reaction?,A chemical reaction is a process in which substances are transformed into new substances with different properties.,medium,Understanding,6,Chemistry,Descriptive,Chemical Reactions,
471,who were the leaders of the bardoli satyagraha in 1928 and what were its outcomes?,Sardar Vallabhbhai Patel led the Bardoli Satyagraha against unjust taxes resulting in reduced tax rates and increased public support for nationalist movements.,medium,Understanding,6,History,Descriptive,Indian Independence Movement,
272,what was the impact of trade on ancient indian society?,Trade led to cultural exchanges economic prosperity and the spread of ideas and goods across ancient India and beyond,medium,Understanding,6,History,Descriptive,Ancient Indian Trade,
91,what is the function of a lever?,A lever is a simple machine that magnifies force or changes the direction of force.,easy,Understanding,6,Physics,Descriptive,Simple Machines,
158,explain the difference between an autotroph and a heterotroph.,An autotroph is an organism that can produce its own food using energy from sunlight or inorganic substances (e.g. plants) while a heterotroph is an organism that obtains energy by consuming other organisms (e.g. animals).,medium,Understanding,6,Biology,Descriptive,Ecology,
243,what is newton's first law of motion?,Newton's first law of motion states that an object at rest will remain at rest and an object in motion will remain in motion at a constant velocity unless acted upon by an external force.,medium,Understanding,6,Physics,Descriptive,Newton's Laws of Motion,
25,what are the main parts of the human digestive system?,"The main parts of the human digestive system are the mouth, esophagus, stomach, small intestine, large intestine, and anus.",easy,Remembering,6,Biology,Descriptive,Digestive System,
18,what is the function of phloem in plants?,Phloem transports food produced in the leaves to other parts of the plant.,medium,Understanding,6,Biology,Descriptive,Plant Anatomy,
266,what was the significance of the iron pillar of delhi during the gupta period?,The Iron Pillar of Delhi is an example of advanced metallurgy during the Gupta period and remains rust-free due to its composition,medium,Understanding,6,History,Descriptive,Ancient Indian Technology,
167,explain the difference between arteries and veins in the circulatory system.,Arteries carry oxygen-rich blood away from the heart to the rest of the body while veins carry oxygen-poor blood back to the heart from the body.,medium,Understanding,6,Biology,Descriptive,Circulatory System,
109,explain the process of metamorphosis in insects.,Metamorphosis is the transformation process from larva to adult form in insects involving distinct stages like egg larva pupa and adult.,easy,Understanding,6,Biology,Descriptive,Insect Life Cycle,
480,explain the impact of the bengal partition of 1905 on indian politics and nationalist sentiments.,The Bengal Partition sparked protests and Swadeshi Movement strengthening anti-British sentiments and Hindu-Muslim unity.,medium,Understanding,6,History,Descriptive,Indian Independence Movement,
195,what is biodiversity?,Biodiversity is the variety of life in all its forms and levels including the diversity of species ecosystems and genetic variation within species.,medium,Understanding,6,Biology,Descriptive,Ecology,
254,describe the importance of the harappan civilization in ancient india.,The Harappan civilization was known for its urban planning advanced drainage systems and trade with Mesopotamia,medium,Understanding,6,History,Descriptive,Ancient Indian Civilization,
267,who were the gupta rulers and what were their contributions to indian culture and society?,"The Gupta rulers promoted art, literature, science, and mathematics, known as the Golden Age of India",medium,Understanding,6,History,Descriptive,Ancient Indian History,
24,explain the difference between monocots and dicots.,Monocots have one cotyledon while dicots have two.,medium,Understanding,6,Biology,Descriptive,Plant Anatomy,
123,describe the difference between a series circuit and a parallel circuit.,In a series circuit components are connected in a single path while in a parallel circuit components are connected in multiple paths.,medium,Understanding,6,Physics,Descriptive,Electricity,
262,explain the importance of the mauryan empire under chandragupta maurya.,The Mauryan Empire unified most of the Indian subcontinent and laid the foundation for centralized administration and governance,medium,Understanding,6,History,Descriptive,Ancient Indian History,
6,what is the importance of sunlight in photosynthesis?,Sunlight provides the energy required for photosynthesis.,hard,Analyzing,6,Biology,Descriptive,Photosynthesis,
67,what is the ph scale?,The pH scale measures the acidity or alkalinity of a substance on a scale from 0 to 14 where 7 is neutral below 7 is acidic and above 7 is alkaline.,medium,Understanding,6,Chemistry,Descriptive,pH Scale,
46,choose the correct answer: proteins are essential for ____.,Growth and repair of tissues,easy,Remembering,6,Biology,MCQ,Nutrition,
17,what is the function of xylem in plants?,Xylem transports water and dissolved minerals from the roots to the rest of the plant.,medium,Understanding,6,Biology,Descriptive,Plant Anatomy,
463,who were the leaders of the swadeshi movement in bengal during the early 20th century?,Leaders like Rabindranath Tagore and Aurobindo Ghosh promoted Swadeshi (indigenous) goods and boycott of British products.,medium,Understanding,6,History,Descriptive,Indian Independence Movement,
358,describe the architectural features of the qutub minar in delhi.,Qutub Minar is a UNESCO World Heritage site known for its Indo-Islamic architecture with five stories and intricate carvings,medium,Understanding,6,History,Descriptive,Indian Architecture,
4,what are the products of photosynthesis?,The products of photosynthesis are glucose and oxygen.,medium,Remembering,6,Biology,Descriptive,Photosynthesis,
119,what is the function of a pulley?,A pulley is a simple machine that changes the direction of a force or allows for lifting heavy objects with less effort.,easy,Understanding,6,Physics,Descriptive,Simple Machines,
406,choose the correct answer: bones are connected to each other by ____,Joints,easy,Remembering,6,Biology,MCQ,Skeletal System,
161,explain the process of filtration in the excretory system.,"Filtration is the first step in urine formation where blood passes through the kidneys, and substances such as water, glucose, ions, and urea are filtered out of the blood.",medium,Understanding,6,Biology,Descriptive,Excretory System,
61,describe the structure of an atom.,"Atoms are composed of protons and neutrons in the nucleus, with electrons orbiting the nucleus.",easy,Understanding,6,Chemistry,Descriptive,Atomic Structure,
319,what is the difference between a conductor and an insulator?,A conductor allows electric current to pass through it easily while an insulator does not allow electric current to pass through it easily.,medium,Understanding,6,Physics,Descriptive,Electricity,
429,what is the role of the small intestine in digestion?,The small intestine is where most of the digestion and absorption of nutrients occur.,medium,Understanding,6,Biology,Descriptive,Digestive System,
30,describe the process of respiration in humans.,Respiration is the process by which oxygen is taken into the body and carbon dioxide is expelled.,easy,Understanding,6,Biology,Descriptive,Respiratory System,
438,what is the function of the rib cage in the human body?,"The rib cage protects the heart, lungs, and other internal organs.",easy,Understanding,6,Biology,Descriptive,Skeletal System,
472,describe the contributions of maulana abul kalam azad to india's freedom struggle and education.,Maulana Azad was a prominent leader in the freedom movement and the first Education Minister of independent India promoting secularism and educational reforms.,medium,Understanding,6,History,Descriptive,Indian Independence Movement,
27,explain the function of the stomach in digestion.,The stomach mixes food with digestive juices and breaks it down into a semi-liquid form.,medium,Understanding,6,Biology,Descriptive,Digestive System,
8,choose the correct answer: transpiration occurs mainly through the ____.,Stomata,easy,Remembering,6,Biology,MCQ,Plant Physiology,
454,describe the contributions of akbar to the mughal administration and cultural integration.,Akbar introduced policies like Sulh-i-kul (policy of religious tolerance) and promoted cultural exchanges (e.g. Din-i-Ilahi).,medium,Understanding,6,History,Descriptive,Mughal Empire,
59,explain how a simple electromagnet works.,An electromagnet is formed by wrapping a coil of wire around an iron core and passing an electric current through the coil.,medium,Applying,6,Physics,Descriptive,Electromagnetism,
38,what are the main components of blood?,"The main components of blood are red blood cells, white blood cells, platelets, and plasma.",medium,Remembering,6,Biology,Descriptive,Circulatory System,
208,what is the function of a lever?,A lever is a simple machine that magnifies force or changes the direction of force.,easy,Understanding,6,Physics,Descriptive,Simple Machines,
490,what were the provisions of the rowlatt act 1919 and how did it impact indian politics?,The Rowlatt Act allowed for indefinite detention without trial leading to protests and the Jallianwala Bagh massacre.,medium,Understanding,6,History,Descriptive,Indian Independence Movement,
69,describe the process of evaporation.,Evaporation is the process by which a liquid changes into its gaseous state at temperatures below its boiling point.,easy,Understanding,6,Chemistry,Descriptive,Phase Changes,
65,list the signs of a chemical reaction.,"Signs of a chemical reaction include color change, gas production, temperature change, and formation of a precipitate.",easy,Remembering,6,Chemistry,Descriptive,Chemical Reactions,
226,choose the correct answer: the part of the eye that controls the amount of light entering the eye is the ____,Iris,easy,Remembering,6,Physics,MCQ,Optics,
374,who were the dalits and what challenges did they face in indian society?,Dalits faced social discrimination and were considered 'untouchable' in traditional caste hierarchy,medium,Understanding,6,History,Descriptive,Indian Social History,
232,choose the correct answer: the resistance of a material to electrical flow is measured in ____,Ohms,easy,Remembering,6,Physics,MCQ,Electricity,
95,what is the function of a pulley?,A pulley is a simple machine that changes the direction of a force or allows for lifting heavy objects with less effort.,easy,Understanding,6,Physics,Descriptive,Simple Machines,
370,who were the leaders of the quit india movement in 1942?,"Leaders like Mahatma Gandhi, Jawaharlal Nehru, and Sardar Vallabhbhai Patel led the Quit India Movement demanding immediate independence from British rule",medium,Understanding,6,History,Descriptive,Indian Independence Movement,
391,describe the contributions of maulana abul kalam azad to india's freedom struggle and education.,"Maulana Azad was a prominent leader in the freedom movement and the first Education Minister of independent India, promoting secularism and educational reforms",medium,Understanding,6,History,Descriptive,Indian Independence Movement,
391,describe the contributions of maulana abul kalam azad to india's freedom struggle and education.,"Maulana Azad was a prominent leader in the freedom movement and the first Education Minister of independent India, promoting secularism and educational reforms",medium,Understanding,6,History,Descriptive,Indian Education System,
246,what is the difference between renewable and non-renewable energy resources?,"Renewable energy resources are naturally replenished over time (e.g., solar, wind), while non-renewable energy resources are finite and cannot be replaced once depleted (e.g., fossil fuels).",medium,Understanding,6,Physics,Descriptive,Energy Resources,
405,what is the function of the skeletal system in the human body?,"The skeletal system provides support, protection, movement, and produces blood cells and stores minerals.",medium,Understanding,6,Biology,Descriptive,Skeletal System,
276,what were the cultural contributions of the delhi sultanate to medieval india?,"The Delhi Sultanate introduced Persian language and culture, new architectural styles such as the Indo-Islamic architecture, and Sufi traditions",medium,Understanding,6,History,Descriptive,Medieval Indian History,
455,what was the impact of the battle of plassey in 1757 on british rule in india?,"The Battle of Plassey established British dominance over Bengal, marking the beginning of British political control in India.",medium,Understanding,6,History,Descriptive,British Colonial Rule in India,
92,choose the correct answer: the point on which a lever rotates is called the ____,Fulcrum,easy,Remembering,6,Physics,MCQ,Simple Machines,
366,who were the leaders of the khilafat movement in india during the early 20th century?,"Leaders like Mahatma Gandhi and Muhammad Ali Jinnah supported the Khilafat Movement, advocating for the rights of Muslims in India",medium,Understanding,6,History,Descriptive,Indian Independence Movement,
168,what is the function of the skeletal system in the human body?,"The skeletal system provides support, protection for internal organs, movement, storage of minerals (such as calcium), and blood cell production (in the bone marrow).",medium,Understanding,6,Biology,Descriptive,Skeletal System,
111,describe the role of bacteria in the ecosystem.,"Bacteria play crucial roles such as decomposition, nitrogen fixation, and symbiotic relationships with other organisms.",medium,Understanding,6,Biology,Descriptive,Ecology,
219,what is the function of an inclined plane?,An inclined plane reduces the effort needed to lift objects by increasing the distance over which the force is applied.,easy,Understanding,6,Physics,Descriptive,Simple Machines,
494,what were the provisions of the rowlatt act 1919 and how did it impact indian politics?,"The Rowlatt Act allowed for indefinite detention without trial, leading to protests and the Jallianwala Bagh massacre.",medium,Understanding,6,History,Descriptive,Indian Independence Movement,
376,what was the impact of the round table conferences on indian politics and constitutional reforms?,The Round Table Conferences discussed constitutional reforms and the future of India's governance,medium,Understanding,6,History,Descriptive,Indian Constitutional History,
401,explain the difference between aerobic and anaerobic respiration.,Aerobic respiration requires oxygen and produces energy (ATP) efficiently while anaerobic respiration occurs without oxygen and produces less energy.,medium,Understanding,6,Biology,Descriptive,Cellular Respiration,
273,describe the silk route and its importance in ancient trade.,The Silk Route was an ancient network of trade routes connecting China with the Mediterranean world facilitating the exchange of silk spices and culture,medium,Understanding,6,History,Descriptive,Ancient Trade Routes,
60,what is the function of a concave lens?,A concave lens diverges light rays and is used in glasses to correct nearsightedness.,medium,Understanding,6,Physics,Descriptive,Optics,
149,describe the process of fertilization in humans.,"Fertilization is the union of a sperm cell and an egg cell, resulting in the formation of a zygote that develops into an embryo.",medium,Understanding,6,Biology,Descriptive,Human Reproduction,
96,choose the correct answer: a combination of two or more simple machines working together is called a ____,Compound machine,easy,Remembering,6,Physics,MCQ,Simple Machines,
193,choose the correct answer: in a food web a herbivore is considered a ____,Primary consumer,easy,Remembering,6,Biology,MCQ,Ecology,
203,choose the correct answer: insects with complete metamorphosis have ____ stages in their life cycle.,Four,easy,Remembering,6,Biology,MCQ,Insect Life Cycle,
368,what were the main provisions of the government of india act 1919?,"The Government of India Act, 1919 introduced provincial autonomy, expanded legislative councils, and allowed for limited self-government",medium,Understanding,6,History,Descriptive,Indian Constitutional History ,
468,describe the contributions of dr. b.r. ambedkar to the drafting of the indian constitution.,"Ambedkar chaired the Drafting Committee, advocating for social justice, equality, and minority rights in the Constitution.",medium,Understanding,6,History,Descriptive,Indian Constitution,
184,choose the correct answer: the main byproduct of photosynthesis that is released into the atmosphere is ____,Oxygen,easy,Remembering,6,Biology,MCQ,Photosynthesis,
146,explain the difference between sexual and asexual reproduction.,"Sexual reproduction involves the fusion of male and female gametes (sex cells) to produce offspring with genetic variation, while asexual reproduction involves the production of offspring from a single parent without gamete fusion, resulting in genetically identical offspring.",medium,Understanding,6,Biology,Descriptive,Reproduction,
216,describe the difference between a series circuit and a parallel circuit.,"In a series circuit, components are connected in a single path, while in a parallel circuit, components are connected in multiple paths.",medium,Understanding,6,Physics,Descriptive,Electrical Circuits,
214,explain the role of gravity in the solar system.,Gravity is the force that keeps planets in orbit around the Sun and governs the motion of celestial bodies.,medium,Understanding,6,Physics,Descriptive,Gravity,
250,choose the correct answer: the transfer of thermal energy by direct contact between particles of matter is called ____,Conduction,easy,Remembering,6,Physics,MCQ,Heat Transfer,
129,what is the difference between a conductor and an insulator?,"A conductor allows electric current to pass through it easily, while an insulator does not allow electric current to pass through it easily.",medium,Understanding,6,Physics,Descriptive,Electricity,
175,choose the correct answer: which structure in plants is primarily responsible for gas exchange?,Stomata,easy,Remembering,6,Biology,MCQ,Plant Anatomy,
479,describe the contributions of dadabhai naoroji to indian nationalism and economic reforms.,"Dadabhai Naoroji was known as the Grand Old Man of India, advocating for Swaraj (self-rule) and economic reforms like Drain Theory.",medium,Understanding,6,History,Descriptive,Indian Independence Movement,
479,describe the contributions of dadabhai naoroji to indian nationalism and economic reforms.,"Dadabhai Naoroji was known as the Grand Old Man of India, advocating for Swaraj (self-rule) and economic reforms like Drain Theory.",medium,Understanding,6,History,Descriptive,Indian Economic History,
359,what was the impact of the bhakti movement on indian society during the medieval period?,"The Bhakti movement emphasized devotion to a personal god, promoting social equality and religious harmony",medium,Understanding,6,History,Descriptive,Medieval Indian History,
251,who was ashoka the great and why is he famous in indian history?,Ashoka was an emperor of the Maurya Dynasty known for his conversion to Buddhism and efforts towards peace and welfare,medium,Understanding,6,History,Descriptive,Ancient Indian History,
70,what are the three states of matter?,"The three states of matter are solid, liquid, and gas.",easy,Remembering,6,Chemistry,Descriptive,States of Matter,
311,choose the correct answer: the brain and spinal cord make up the ____,Central nervous system,easy,Remembering,6,Biology,MCQ,Nervous System,
300,explain the significance of monuments like the qutub minar and ajanta caves in indian history and culture.,Monuments like the Qutub Minar represent architectural and cultural achievements reflecting the heritage and history of India,medium,Understanding,6,History,Descriptive,Indian Architecture,
300,explain the significance of monuments like the qutub minar and ajanta caves in indian history and culture.,Monuments like the Qutub Minar represent architectural and cultural achievements reflecting the heritage and history of India,medium,Understanding,6,History,Descriptive,Indian Cultural Heritage,
256,where have harappan sites been discovered? name any two sites.,Harappan sites have been discovered in India and Pakistan; Mohenjo-daro and Harappa are prominent sites,easy,Remembering,6,History,Descriptive,Indus Valley Civilization,
355,what is the significance of the vedic texts in ancient indian history?,"Vedic texts provide insights into early Aryan society, rituals, and religious beliefs",medium,Understanding,6,History,Descriptive,Ancient Indian History,
126,what is the function of an inclined plane?,An inclined plane reduces the effort needed to lift objects by increasing the distance over which the force is applied.,easy,Understanding,6,Physics,Descriptive,Simple Machines,
354,describe the script used in the indus valley civilization and its current status.,"The Indus script remains undeciphered, but it was likely used for administrative and trade purposes",medium,Understanding,6,History,Descriptive,Indus Valley Civilization,
135,what is the function of the cell membrane?,The cell membrane regulates the movement of substances into and out of the cell and provides structure and protection.,medium,Understanding,6,Biology,Descriptive,Cell Biology,
383,describe the significance of the champaran satyagraha in the indian freedom struggle.,The Champaran Satyagraha was Gandhi's first successful civil disobedience campaign against British exploitation of indigo farmers,medium,Understanding,6,History,Descriptive,Indian Independence Movement,
275,explain the architecture of temples built during the chola period in south india.,"Chola temples were known for their grandeur, intricate carvings, and towering gopurams (gateway towers), reflecting Dravidian architecture",medium,Understanding,6,History,Descriptive,Indian Architecture,
37,explain how the circulatory system and respiratory system work together.,The circulatory system transports oxygen from the lungs to the body's cells and carbon dioxide from the cells to the lungs.,hard,Applying,6,Biology,Descriptive,Body Systems,
247,choose the correct answer: solar energy is an example of a ____,Renewable energy resource,easy,Remembering,6,Physics,MCQ,Energy Resources,
90,explain the difference between renewable and non-renewable resources.,"Renewable resources can be replenished naturally or through human intervention (e.g., solar energy), while non-renewable resources are finite and cannot be replenished within a short period (e.g., fossil fuels).",medium,Understanding,6,Biology,Descriptive,Natural Resources,
365,explain the term 'swadeshi movement' and its significance in the indian independence struggle.,The swadeshi movement promoted the use of Indian goods and boycott of British products to protest against colonial rule,medium,Understanding,6,History,Descriptive,Indian Independence Movement,
145,choose the correct answer: the hormone responsible for regulating blood sugar levels is ____,Insulin,easy,Remembering,6,Biology,MCQ,Endocrine System,
440,explain why the skull and rib cage are important for protection in the human body.,"The skull protects the brain, while the rib cage protects the heart, lungs, and other internal organs from injury.",medium,Understanding,6,Biology,Descriptive,Skeletal System,
287,explain the partition of india in 1947 and its consequences.,"The Partition of India divided British India into India and Pakistan based on religious lines, leading to communal violence, mass migration, and the formation of two independent nations",medium,Understanding,6,History,Descriptive,Indian Independence,
160,choose the correct answer: which biome is characterized by cold temperatures permafrost and low-growing vegetation?,Tundra,easy,Remembering,6,Biology,MCQ,Biomes,
62,choose the correct answer: the smallest unit of an element that retains its properties is called a ____,Atom,easy,Remembering,6,Chemistry,MCQ,Atomic Structure,
190,choose the correct answer: the root system that has a main root (taproot) and smaller lateral roots is called ____,Taproot system,easy,Remembering,6,Biology,MCQ,Plant Anatomy,
437,describe the structure and function of the skeletal system in the human body.,"The skeletal system provides support, protection, movement, and produces blood cells and stores minerals.",medium,Understanding,6,Biology,Descriptive,Skeletal System,
7,describe the process of transpiration.,Transpiration is the process of water movement through a plant and its evaporation from aerial parts.,easy,Understanding,6,Biology,Descriptive,Plant Physiology,
361,explain the significance of the akbarnama in mughal history and culture.,The Akbarnama is a biography of Akbar commissioned by the emperor documenting his life and reign,medium,Understanding,6,History,Descriptive,Mughal Empire,
347,choose the correct answer: which of the following is an example of a series circuit?,A string of Christmas lights,easy,Remembering,6,Physics,MCQ,Electrical Circuits,
339,explain why it is easier to swim in saltwater than in freshwater.,It is easier to swim in saltwater than in freshwater because saltwater is denser providing greater buoyant force (upward force) to support a swimmer's weight.,medium,Understanding,6,Physics,Descriptive,Buoyancy,
209,choose the correct answer: the point on which a lever rotates is called the ____,Fulcrum,easy,Remembering,6,Physics,MCQ,Simple Machines,
201,what is the difference between arteries and veins?,"Arteries carry oxygen-rich blood away from the heart, while veins carry oxygen-poor blood back to the heart.",medium,Understanding,6,Biology,Descriptive,Circulatory System,
228,what is the difference between a permanent magnet and an electromagnet?,"A permanent magnet produces a magnetic field without needing an external current, while an electromagnet produces a magnetic field only when an electric current flows through it.",medium,Understanding,6,Physics,Descriptive,Magnetism,
394,who were the leaders of the bardoli satyagraha in 1928 and what were its outcomes?,"Sardar Vallabhbhai Patel led the Bardoli Satyagraha against unjust taxes, resulting in reduced tax rates and increased public support for nationalist movements",medium,Understanding,6,History,Descriptive,Indian Independence Movement,
235,choose the correct answer: which of the following is an example of an electromagnet?,A scrapyard crane,easy,Remembering,6,Physics,MCQ,Magnetism,
450,describe the architecture of the mughal period under emperor shah jahan.,"Shah Jahan's architecture includes the Taj Mahal, Red Fort in Delhi, and Jama Masjid, showcasing Mughal grandeur and Persian influences.",medium,Understanding,6,History,Descriptive,Mughal Architecture,
11,label the parts of a flower: ____ ____ ____ ____ ____.,Stamen Pistil Petal Sepal Ovary,medium,Remembering,6,Biology,Fill in the blank,Plant Anatomy,
381,explain the role of women leaders like kamaladevi chattopadhyay in india's independence movement and social reforms.,"Kamaladevi Chattopadhyay was a leader in the freedom struggle, promoting women's rights, arts, and cultural revival",medium,Understanding,6,History,Descriptive,Indian Independence Movement,
381,explain the role of women leaders like kamaladevi chattopadhyay in india's independence movement and social reforms.,"Kamaladevi Chattopadhyay was a leader in the freedom struggle, promoting women's rights, arts, and cultural revival",medium,Understanding,6,History,Descriptive,Women's Rights in India,
54,what is the formula for calculating density?,Density = Mass / Volume,medium,Understanding,6,Physics,Descriptive,Density,
182,explain the process of photosynthesis in plants.,"Photosynthesis is the process by which green plants and some other organisms use sunlight, carbon dioxide, and water to produce glucose and oxygen.",medium,Understanding,6,Biology,Descriptive,Photosynthesis,
39,choose the correct answer: red blood cells carry ____.,Oxygen,easy,Remembering,6,Biology,MCQ,Circulatory System,
315,explain the difference between evaporation and condensation.,"Evaporation is the process by which a liquid changes into its gaseous state at temperatures below its boiling point, whereas condensation is the process by which a gas changes into its liquid state.",medium,Understanding,6,Physics,Descriptive,Phase Changes,
218,explain the difference between evaporation and condensation.,"Evaporation is the process by which a liquid changes into its gaseous state at temperatures below its boiling point, whereas condensation is the process by which a gas changes into its liquid state.",medium,Understanding,6,Physics,Descriptive,Phase Changes,
470,explain the significance of the dandi march led by mahatma gandhi in 1930.,"The Dandi March protested against British salt laws, symbolizing civil disobedience and mass participation in India's freedom struggle.",medium,Understanding,6,History,Descriptive,Indian Independence Movement,
297,explain the role of information technology (it) in india's economic growth and global competitiveness.,"IT revolutionized sectors like software development, telecommunications, and services, making India a global hub for IT outsourcing and innovation",medium,Understanding,6,History,Descriptive,Modern Indian Economy,
475,who were the leaders of the bardoli satyagraha in 1928 and what were its outcomes?,"Sardar Vallabhbhai Patel led the Bardoli Satyagraha against unjust taxes, resulting in reduced tax rates and increased public support for nationalist movements.",medium,Understanding,6,History,Descriptive,Indian Independence Movement,
249,what is the role of a calorimeter?,A calorimeter is a device used to measure the amount of heat absorbed or released during a chemical or physical change.,easy,Understanding,6,Physics,Descriptive,Heat Measurement,
298,what are the major challenges faced by modern india in the fields of environment and sustainability?,"Challenges include pollution, climate change, deforestation, and the sustainable management of natural resources",medium,Understanding,6,History,Descriptive,Environmental Issues,
417,what is the role of bees in pollination?,"Bees transfer pollen from flower to flower as they collect nectar, facilitating pollination and the production of fruits and seeds.",easy,Understanding,6,Biology,Descriptive,Plant Reproduction,
97,explain the role of gravity in the solar system.,Gravity is the force that keeps planets in orbit around the Sun and governs the motion of celestial bodies.,medium,Understanding,6,Physics,Descriptive,Gravity,
393,explain the role of indian princely states in the integration process after independence.,Indian princely states acceded to the Indian Union through agreements and negotiations contributing to the territorial integrity of India,medium,Understanding,6,History,Descriptive,Post-Independence India,
98,what is sound?,Sound is a form of energy produced by vibrations that travel through a medium such as air water or solids.,easy,Understanding,6,Physics,Descriptive,Sound Waves,
